point_id,city,n_headings,sidewalk_frac_mean,crosswalk_frac_mean,vegetation_frac_mean,sky_frac_mean,building_frac_mean,sidewalk_frac_max,crosswalk_frac_max,vegetation_frac_max,building_frac_max,sidewalk_width_px,street_mask_coverage_mean,naip_vegetation_frac,naip_building_frac,naip_road_frac,naip_water_frac,naip_mask_coverage,naip_n_masks,naip_missing,naip_unclassified,stops_400m,trips_per_hr_400m,stops_800m,trips_per_hr_800m,lat,lon,ca_sidewalk,ca_crosswalk,ca_tree_canopy,ca_transit_stop,agree_sidewalk,agree_crosswalk,agree_tree_canopy,agree_transit_stop,agreement_score,agreement_tier,NatWalkInd,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,D1A,D1B,D2B_E8MIX,D3A,D3B,D3APO,D4A,D4C,D4D,LPA_CrudePrev,OBESITY_CrudePrev,overture_sidewalk_present,overture_intersection_count_200m,overture_building_footprint_frac_100m,overture_crosswalk_present
1590,msp,4.0,0.24735,0.001657,0.190899,0.260291,0.01844,0.306174,0.004336,0.224122,0.036577,758.75,0.717999,0.0,0.037452,0.0,0.0,0.037452,1.0,0.0,0.0,2,20.125,22,147.375,44.9777523,-93.2515726,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,18.666666666666668,20.0,14.0,19.0,20.0,8.109326228658283,19.30828286428421,0.7144405895392708,35.563379585729415,197.93339021176405,20.04209216964371,0.0,103.67,318.862439408,,,1.0,18.0,0.0544,1
1591,msp,4.0,0.19061,0.02499,0.047853,0.372024,0.062387,0.441299,0.099959,0.125689,0.241077,692.67,0.651726,0.0,0.042114,0.116747,0.0,0.303312,3.0,0.0,0.0,9,79.5,31,232.25,44.9777569,-93.2362581,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,high_confidence,13.333333333333336,9.0,3.0,20.0,14.0,2.2528257413863404,18.47108512960745,0.3199692975889824,38.15003815964047,503.8097398659581,34.45485830278725,628.99,50.67,144.449006202,,,1.0,87.0,0.1017,0
1592,msp,4.0,0.20496,0.0,0.160126,0.239937,0.013376,0.307655,0.0,0.226414,0.036368,559.75,0.618354,0.121049,0.037632,0.0,0.0,0.158681,2.0,0.0,0.0,2,20.125,22,144.562,44.9778474,-93.2517477,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.6667,partial,18.666666666666668,20.0,14.0,19.0,20.0,8.109326228658283,19.30828286428421,0.7144405895392708,35.563379585729415,197.93339021176405,20.04209216964371,0.0,103.67,318.862439408,,,1.0,19.0,0.0127,1
1593,msp,4.0,0.0356,0.034737,0.076079,0.298242,0.0627,0.126859,0.120878,0.11485,0.099356,417.0,0.49889,0.0,0.025936,0.0,0.065047,0.118803,3.0,0.0,0.0,11,102.625,33,229.875,44.9778809,-93.2322622,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,13.333333333333336,9.0,3.0,20.0,14.0,2.2528257413863404,18.47108512960745,0.3199692975889824,38.15003815964047,503.8097398659581,34.45485830278725,628.99,50.67,144.449006202,,,1.0,48.0,0.2613,0
1594,msp,4.0,0.166835,0.033503,0.101692,0.390746,0.071268,0.363937,0.099959,0.214292,0.276601,686.83,0.708055,0.0,0.0,0.262461,0.0,0.42272,2.0,0.0,0.0,9,79.5,30,219.938,44.9778883,-93.2361764,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,high_confidence,13.333333333333336,9.0,3.0,20.0,14.0,2.2528257413863404,18.47108512960745,0.3199692975889824,38.15003815964047,503.8097398659581,34.45485830278725,628.99,50.67,144.449006202,,,1.0,85.0,0.0898,0
1595,msp,4.0,0.065159,0.0,0.026257,0.484109,0.091773,0.167366,0.0,0.042758,0.229689,410.88,0.656909,0.0,0.026991,0.0,0.0,0.053955,3.0,0.0,0.0,6,69.875,32,275.312,44.9779293,-93.2387356,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,13.333333333333336,9.0,3.0,20.0,14.0,2.2528257413863404,18.47108512960745,0.3199692975889824,38.15003815964047,503.8097398659581,34.45485830278725,628.99,50.67,144.449006202,,,1.0,66.0,0.139,0
1596,msp,4.0,0.037591,0.016248,0.030302,0.508942,0.044134,0.086169,0.040232,0.099971,0.118465,194.0,0.638467,0.0,0.042376,0.201724,0.0,0.552084,3.0,0.0,0.0,8,67.5,31,236.562,44.9779473,-93.2356558,2.0,1.0,2.0,,1.0,1.0,1.0,,1.0,high_confidence,13.333333333333336,9.0,3.0,20.0,14.0,2.2528257413863404,18.47108512960745,0.3199692975889824,38.15003815964047,503.8097398659581,34.45485830278725,628.99,50.67,144.449006202,,,1.0,84.0,0.1177,0
1597,msp,4.0,0.113991,0.0,0.150289,0.30568,0.017667,0.219715,0.0,0.244485,0.026198,309.38,0.588306,0.107423,0.039526,0.0,0.0,0.146949,2.0,0.0,0.0,2,20.125,19,131.25,44.977952,-93.251936,2.0,,2.0,0.0,1.0,,1.0,0.0,1.0,high_confidence,18.666666666666668,20.0,14.0,19.0,20.0,8.109326228658283,19.30828286428421,0.7144405895392708,35.563379585729415,197.93339021176405,20.04209216964371,0.0,103.67,318.862439408,,,1.0,18.0,0.0,0
1598,msp,4.0,0.0356,0.032302,0.075568,0.298052,0.068688,0.126859,0.120878,0.113257,0.099356,417.0,0.501744,0.0,0.029823,0.0,0.0,0.057661,2.0,0.0,0.0,11,102.625,33,229.875,44.9779816,-93.2321828,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,13.333333333333336,9.0,3.0,20.0,14.0,2.2528257413863404,18.47108512960745,0.3199692975889824,38.15003815964047,503.8097398659581,34.45485830278725,628.99,50.67,144.449006202,,,1.0,41.0,0.2555,0
1599,msp,4.0,0.019498,0.0,0.032637,0.431612,0.107336,0.040095,0.0,0.130547,0.234406,159.5,0.589611,0.265049,0.0,0.0,0.0,0.297027,2.0,0.0,0.0,6,69.875,32,275.312,44.9780181,-93.2386476,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,13.333333333333336,9.0,3.0,20.0,14.0,2.2528257413863404,18.47108512960745,0.3199692975889824,38.15003815964047,503.8097398659581,34.45485830278725,628.99,50.67,144.449006202,,,1.0,69.0,0.1781,0
16,msp,4.0,0.064026,0.0,0.06919,0.616215,0.014797,0.163253,0.0,0.134201,0.031609,504.67,0.768575,0.0,0.064055,0.0,0.0,0.254047,2.0,0.0,0.0,4,1.5,8,3.0,45.042783,-93.1075573,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6667,partial,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,29.9,1.0,29.0,0.0433,0
160,msp,4.0,0.0,0.00597,0.059415,0.388895,0.001114,0.0,0.023878,0.121365,0.002872,0.0,0.455372,0.0,0.0,0.0,0.0,0.364184,1.0,0.0,1.0,5,11.25,11,24.75,45.0168514,-93.217258,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.6667,partial,15.5,18.0,15.0,11.0,19.0,1.7444450577374695,3.142664378824754,0.6876774443491345,18.27571495341128,68.19260975767264,12.490140489960384,232.01,4.33,6.06511380024,16.1,23.8,1.0,47.0,0.0054,0
1600,msp,4.0,0.113078,0.0,0.047776,0.62956,0.135877,0.430963,0.0,0.123717,0.222664,549.0,0.848826,0.100813,0.0,0.185302,0.0,0.312213,3.0,0.0,0.0,5,51.625,27,231.125,44.9786927,-93.2399177,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6667,partial,13.333333333333336,9.0,3.0,20.0,14.0,2.2528257413863404,18.47108512960745,0.3199692975889824,38.15003815964047,503.8097398659581,34.45485830278725,628.99,50.67,144.449006202,,,1.0,23.0,0.2859,0
1601,msp,4.0,0.096409,0.002337,0.070047,0.151486,0.220434,0.174216,0.009349,0.108461,0.257505,413.17,0.539704,0.242278,0.081604,0.038381,0.0,0.294862,7.0,0.0,0.0,8,81.812,28,221.375,44.9788313,-93.2380039,2.0,,2.0,0.0,1.0,,1.0,0.0,1.0,high_confidence,13.333333333333336,9.0,3.0,20.0,14.0,2.2528257413863404,18.47108512960745,0.3199692975889824,38.15003815964047,503.8097398659581,34.45485830278725,628.99,50.67,144.449006202,,,1.0,60.0,0.1814,0
1602,msp,4.0,0.053506,0.016034,0.05391,0.527148,0.128654,0.214024,0.045738,0.179123,0.272048,1024.0,0.734488,0.0,0.0,0.0,0.0,0.238076,1.0,0.0,1.0,7,62.812,31,234.875,44.9788361,-93.2351081,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,13.333333333333336,9.0,3.0,20.0,14.0,2.2528257413863404,18.47108512960745,0.3199692975889824,38.15003815964047,503.8097398659581,34.45485830278725,628.99,50.67,144.449006202,,,1.0,52.0,0.2024,1
1603,msp,4.0,0.071354,0.004445,0.107304,0.235843,0.133851,0.158799,0.01425,0.178862,0.251446,277.38,0.545878,0.409103,0.018767,0.402303,0.0,0.425516,3.0,0.0,0.0,7,77.125,28,221.375,44.9789743,-93.2377252,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,13.333333333333336,9.0,3.0,20.0,14.0,2.2528257413863404,18.47108512960745,0.3199692975889824,38.15003815964047,503.8097398659581,34.45485830278725,628.99,50.67,144.449006202,,,1.0,61.0,0.1992,0
1604,msp,4.0,0.137945,0.003562,0.11401,0.167945,0.08031,0.183281,0.01425,0.176512,0.19228,440.0,0.502074,0.244497,0.018478,0.0,0.0,0.264995,3.0,0.0,0.0,7,77.125,28,221.375,44.9791049,-93.2376552,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,13.333333333333336,9.0,3.0,20.0,14.0,2.2528257413863404,18.47108512960745,0.3199692975889824,38.15003815964047,503.8097398659581,34.45485830278725,628.99,50.67,144.449006202,,,1.0,55.0,0.1711,0
1605,msp,4.0,0.055954,0.022942,0.113748,0.215836,0.030736,0.18775,0.09177,0.329264,0.043037,207.75,0.458104,0.0,0.0,0.0,0.012896,0.202473,2.0,0.0,0.0,8,79.188,30,222.812,44.9794221,-93.2365611,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.6667,partial,13.333333333333336,9.0,3.0,20.0,14.0,2.2528257413863404,18.47108512960745,0.3199692975889824,38.15003815964047,503.8097398659581,34.45485830278725,628.99,50.67,144.449006202,,,1.0,40.0,0.1018,0
1606,msp,4.0,0.134237,0.0,0.09031,0.191699,0.170432,0.434935,0.0,0.239385,0.585243,514.67,0.525556,0.0,0.0,0.0,0.0,0.249439,1.0,0.0,1.0,8,79.188,31,227.812,44.9794781,-93.2361979,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,15.333333333333332,15.0,7.0,16.0,19.0,21.3562871512448,65.76471736480227,0.4526830926832459,25.79177854526853,128.78847168419037,18.068389056765035,179.71,38.0,699.037555206,27.6,27.3,1.0,34.0,0.0669,0
1607,msp,4.0,0.129777,0.0,0.092413,0.182487,0.184577,0.434935,0.0,0.239385,0.585243,659.0,0.527211,0.0,0.0,0.0,0.012634,0.202374,2.0,0.0,0.0,8,79.188,32,233.0,44.9795409,-93.2361741,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,15.333333333333332,15.0,7.0,16.0,19.0,21.3562871512448,65.76471736480227,0.4526830926832459,25.79177854526853,128.78847168419037,18.068389056765035,179.71,38.0,699.037555206,27.6,27.3,1.0,34.0,0.0825,0
1608,msp,4.0,0.144751,0.061274,0.010624,0.164759,0.376102,0.432199,0.245096,0.01726,0.749625,487.17,0.65336,0.0,0.019416,0.0,0.0,0.181289,2.0,0.0,0.0,7,77.125,32,233.125,44.9796478,-93.236615,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6667,partial,15.333333333333332,15.0,7.0,16.0,19.0,21.3562871512448,65.76471736480227,0.4526830926832459,25.79177854526853,128.78847168419037,18.068389056765035,179.71,38.0,699.037555206,27.6,27.3,1.0,42.0,0.1385,0
1609,msp,4.0,0.109459,0.034921,0.063892,0.209337,0.164981,0.383235,0.139683,0.129787,0.50065,459.33,0.600385,0.0,0.0,0.0,0.0,0.241286,1.0,0.0,1.0,8,79.188,33,238.312,44.979653,-93.2363248,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.6667,partial,15.333333333333332,15.0,7.0,16.0,19.0,21.3562871512448,65.76471736480227,0.4526830926832459,25.79177854526853,128.78847168419037,18.068389056765035,179.71,38.0,699.037555206,27.6,27.3,1.0,36.0,0.0871,0
161,msp,4.0,0.077916,0.00597,0.100407,0.399646,0.000718,0.204976,0.023878,0.121365,0.002872,430.17,0.58471,0.0,0.0,0.0,0.0,0.380101,1.0,0.0,1.0,6,13.5,11,24.75,45.0168559,-93.2173966,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,15.5,18.0,15.0,11.0,19.0,1.7444450577374695,3.142664378824754,0.6876774443491345,18.27571495341128,68.19260975767264,12.490140489960384,232.01,4.33,6.06511380024,16.1,23.8,1.0,49.0,0.0303,0
1610,msp,4.0,0.176507,0.106114,0.05532,0.206385,0.17527,0.232981,0.424456,0.210425,0.353204,549.0,0.599844,0.0,0.0,0.0,0.0,0.676154,1.0,0.0,1.0,10,75.062,32,233.0,44.9799151,-93.2346126,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3333,disagreement,15.333333333333332,15.0,7.0,16.0,19.0,21.3562871512448,65.76471736480227,0.4526830926832459,25.79177854526853,128.78847168419037,18.068389056765035,179.71,38.0,699.037555206,27.6,27.3,1.0,38.0,0.3083,0
1611,msp,4.0,0.069794,0.018383,0.034976,0.183592,0.288363,0.136075,0.039192,0.070988,0.70496,318.67,0.562349,0.0,0.011191,0.0,0.0,0.671221,2.0,0.0,0.0,13,79.25,33,249.625,44.9799976,-93.2341929,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,high_confidence,13.333333333333336,9.0,3.0,20.0,14.0,2.2528257413863404,18.47108512960745,0.3199692975889824,38.15003815964047,503.8097398659581,34.45485830278725,628.99,50.67,144.449006202,,,1.0,41.0,0.2294,0
1612,msp,4.0,0.026271,0.025687,0.019658,0.2757,0.145531,0.064248,0.063035,0.070988,0.202395,201.25,0.498394,0.0,0.0,0.0,0.0,0.693549,1.0,0.0,1.0,12,77.188,33,238.312,44.9800859,-93.2344772,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6667,partial,15.333333333333332,15.0,7.0,16.0,19.0,21.3562871512448,65.76471736480227,0.4526830926832459,25.79177854526853,128.78847168419037,18.068389056765035,179.71,38.0,699.037555206,27.6,27.3,1.0,38.0,0.2967,0
1613,msp,4.0,0.026271,0.025687,0.019658,0.2757,0.145531,0.064248,0.063035,0.070988,0.202395,201.25,0.498394,0.0,0.0,0.0,0.0,0.687408,1.0,0.0,1.0,12,77.188,33,238.312,44.9801058,-93.2344316,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6667,partial,15.333333333333332,15.0,7.0,16.0,19.0,21.3562871512448,65.76471736480227,0.4526830926832459,25.79177854526853,128.78847168419037,18.068389056765035,179.71,38.0,699.037555206,27.6,27.3,1.0,37.0,0.2918,0
1614,msp,4.0,0.009006,0.006827,0.072645,0.279054,0.071328,0.021011,0.025443,0.16201,0.248889,112.75,0.438925,0.0,0.033159,0.115214,0.0,0.148374,3.0,0.0,0.0,4,7.375,13,22.125,44.9648491,-93.2204731,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6667,partial,12.0,11.0,3.0,13.0,16.0,21.745321713109423,45.84368196980159,0.3598318048036206,48.93535596949052,90.62322258863972,16.55667208581154,461.35,25.67,258.391438837,,,1.0,47.0,0.1107,0
1615,msp,4.0,0.001959,0.000648,0.0,0.311986,0.14723,0.007838,0.002591,0.0,0.293835,170.0,0.463677,0.310906,0.02728,0.0,0.071558,0.376782,4.0,0.0,0.0,4,7.375,13,22.125,44.9648514,-93.2207758,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,disagreement,12.0,11.0,3.0,13.0,16.0,21.745321713109423,45.84368196980159,0.3598318048036206,48.93535596949052,90.62322258863972,16.55667208581154,461.35,25.67,258.391438837,,,1.0,44.0,0.0581,0
1616,msp,4.0,0.001959,0.008885,0.037074,0.298197,0.073945,0.007838,0.032949,0.148294,0.293835,170.0,0.435993,0.0,0.0,0.0,0.071098,0.071098,1.0,0.0,0.0,4,7.375,13,22.125,44.9648695,-93.2208184,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.6667,partial,12.0,11.0,3.0,13.0,16.0,21.745321713109423,45.84368196980159,0.3598318048036206,48.93535596949052,90.62322258863972,16.55667208581154,461.35,25.67,258.391438837,,,1.0,43.0,0.0599,0
1617,msp,4.0,0.004472,0.00558,0.059919,0.342113,0.069135,0.017887,0.019133,0.150517,0.248889,167.0,0.481848,0.0,0.027496,0.0,0.050023,0.077519,2.0,0.0,0.0,4,7.375,13,22.125,44.9649068,-93.2205897,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,12.0,11.0,3.0,13.0,16.0,21.745321713109423,45.84368196980159,0.3598318048036206,48.93535596949052,90.62322258863972,16.55667208581154,461.35,25.67,258.391438837,,,1.0,47.0,0.1089,0
1618,msp,4.0,0.0,0.001284,0.0,0.314096,0.124869,0.0,0.003185,0.0,0.248889,0.0,0.44027,0.0,0.027054,0.0,0.0,0.068303,2.0,0.0,0.0,4,7.375,13,22.125,44.9649075,-93.2204747,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,12.0,11.0,3.0,13.0,16.0,21.745321713109423,45.84368196980159,0.3598318048036206,48.93535596949052,90.62322258863972,16.55667208581154,461.35,25.67,258.391438837,,,1.0,50.0,0.1219,0
1619,msp,4.0,0.006237,0.023008,0.016262,0.2879,0.007889,0.024948,0.03371,0.032525,0.024822,146.5,0.341968,0.0,0.034016,0.0,0.059059,0.37001,4.0,0.0,0.0,4,7.375,14,24.188,44.9649816,-93.2209826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,high_confidence,12.0,11.0,3.0,13.0,16.0,21.745321713109423,45.84368196980159,0.3598318048036206,48.93535596949052,90.62322258863972,16.55667208581154,461.35,25.67,258.391438837,,,1.0,40.0,0.0782,0
162,msp,4.0,0.057498,0.0,0.045382,0.385774,0.0,0.100033,0.0,0.090763,0.0,177.25,0.488766,0.024601,0.203284,0.0,0.0,0.557287,3.0,0.0,0.0,6,13.5,12,27.0,45.0168738,-93.2176524,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,15.5,18.0,15.0,11.0,19.0,1.7444450577374695,3.142664378824754,0.6876774443491345,18.27571495341128,68.19260975767264,12.490140489960384,232.01,4.33,6.06511380024,16.1,23.8,1.0,52.0,0.0873,0
1620,msp,4.0,0.004472,0.041865,0.037629,0.281372,0.014551,0.017887,0.148326,0.150517,0.029102,167.0,0.379846,0.176907,0.027424,0.0,0.036568,0.240709,3.0,0.0,0.0,4,7.375,15,24.812,44.9650779,-93.2207703,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6667,partial,12.0,11.0,3.0,13.0,16.0,21.745321713109423,45.84368196980159,0.3598318048036206,48.93535596949052,90.62322258863972,16.55667208581154,461.35,25.67,258.391438837,,,1.0,45.0,0.1291,0
1621,msp,4.0,0.080662,0.037306,0.048674,0.309001,0.182791,0.179428,0.148326,0.114413,0.431419,763.5,0.648154,0.0,0.027027,0.0,0.0,0.027027,1.0,0.0,0.0,4,7.375,16,33.688,44.9651693,-93.2204819,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6667,partial,12.0,11.0,3.0,13.0,16.0,21.745321713109423,45.84368196980159,0.3598318048036206,48.93535596949052,90.62322258863972,16.55667208581154,461.35,25.67,258.391438837,,,1.0,52.0,0.1521,0
1622,msp,4.0,0.006483,0.037306,0.049716,0.286025,0.026272,0.025932,0.148326,0.16016,0.075987,202.0,0.405802,0.0,0.027794,0.0,0.019362,0.047155,2.0,0.0,0.0,4,7.375,17,35.562,44.9651708,-93.2205933,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.6667,partial,12.0,11.0,3.0,13.0,16.0,21.745321713109423,45.84368196980159,0.3598318048036206,48.93535596949052,90.62322258863972,16.55667208581154,461.35,25.67,258.391438837,,,1.0,52.0,0.1567,0
1623,msp,4.0,0.006483,0.037306,0.049716,0.286025,0.026272,0.025932,0.148326,0.16016,0.075987,202.0,0.405802,0.0,0.027451,0.0,0.020309,0.047759,2.0,0.0,0.0,4,7.375,16,30.188,44.9651889,-93.220666,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6667,partial,12.0,11.0,3.0,13.0,16.0,21.745321713109423,45.84368196980159,0.3598318048036206,48.93535596949052,90.62322258863972,16.55667208581154,461.35,25.67,258.391438837,,,1.0,51.0,0.1644,0
1624,msp,4.0,0.03753,0.037082,0.045361,0.315663,0.125891,0.143219,0.148326,0.114413,0.431419,387.25,0.561446,0.0,0.027252,0.0,0.0,0.292094,2.0,0.0,0.0,4,7.375,16,33.688,44.9652625,-93.2204808,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.6667,partial,12.0,11.0,3.0,13.0,16.0,21.745321713109423,45.84368196980159,0.3598318048036206,48.93535596949052,90.62322258863972,16.55667208581154,461.35,25.67,258.391438837,,,1.0,53.0,0.1742,0
1625,msp,4.0,0.010998,0.0,0.094626,0.158748,0.00535,0.020082,0.0,0.195438,0.01099,92.17,0.270849,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,7.375,16,26.938,44.9653936,-93.2219413,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,12.0,11.0,3.0,13.0,16.0,21.745321713109423,45.84368196980159,0.3598318048036206,48.93535596949052,90.62322258863972,16.55667208581154,461.35,25.67,258.391438837,,,1.0,33.0,0.0895,0
1626,msp,4.0,0.004641,0.048514,0.001513,0.108754,0.05596,0.018564,0.194055,0.006053,0.092913,249.5,0.215126,0.851031,0.009965,0.0,0.0,0.857596,4.0,0.0,0.0,6,11.062,26,89.0,44.9654147,-93.2147502,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6667,partial,16.5,16.0,19.0,14.0,18.0,2.388278667346486,6.459321531414141,0.7937776957322777,18.614245930075985,103.2600483860532,14.68710979853861,311.14,64.33,101.120684914,18.7,23.0,1.0,26.0,0.1779,0
1627,msp,4.0,0.0,0.048514,0.0,0.13164,0.043157,0.0,0.194055,0.0,0.092913,0.0,0.223048,0.570282,0.005212,0.0,0.0,0.575296,2.0,0.0,0.0,6,11.062,26,83.688,44.9654167,-93.2150312,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6667,partial,15.666666666666668,11.0,11.0,20.0,16.0,13.936835642328772,33.782613961194954,0.7563320203615026,31.930984465839384,266.02580983925304,26.086039698325603,473.42,47.33,471.979667117,,,1.0,27.0,0.1546,0
1628,msp,4.0,0.0,0.048514,0.0,0.13164,0.043157,0.0,0.194055,0.0,0.092913,0.0,0.223048,0.606571,0.005131,0.109713,0.0,0.721118,3.0,0.0,0.0,6,11.062,26,83.688,44.9654361,-93.2150238,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6667,partial,15.666666666666668,11.0,11.0,20.0,16.0,13.936835642328772,33.782613961194954,0.7563320203615026,31.930984465839384,266.02580983925304,26.086039698325603,473.42,47.33,471.979667117,,,1.0,27.0,0.152,0
1629,msp,4.0,0.006698,0.0,0.006724,0.141232,0.038146,0.026791,0.0,0.026894,0.07715,254.0,0.192535,0.649316,0.005248,0.0,0.0,0.654483,2.0,0.0,0.0,6,11.062,26,83.688,44.965548,-93.2151432,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.6667,partial,15.666666666666668,11.0,11.0,20.0,16.0,13.936835642328772,33.782613961194954,0.7563320203615026,31.930984465839384,266.02580983925304,26.086039698325603,473.42,47.33,471.979667117,,,1.0,27.0,0.1478,0
163,msp,4.0,0.12572,0.042101,0.077272,0.406445,0.0,0.204976,0.152905,0.117566,0.0,414.25,0.65115,0.0,0.178981,0.0,0.0,0.50923,2.0,0.0,0.0,6,13.5,11,24.75,45.0168751,-93.2174676,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,15.5,18.0,15.0,11.0,19.0,1.7444450577374695,3.142664378824754,0.6876774443491345,18.27571495341128,68.19260975767264,12.490140489960384,232.01,4.33,6.06511380024,16.1,23.8,1.0,51.0,0.0452,0
1630,msp,4.0,0.012072,0.0,0.010173,0.143179,0.049434,0.026791,0.0,0.026894,0.07715,213.0,0.214082,0.662563,0.005303,0.0,0.0,0.667812,2.0,0.0,0.0,6,11.062,27,94.375,44.9655547,-93.2149212,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,16.5,16.0,19.0,14.0,18.0,2.388278667346486,6.459321531414141,0.7937776957322777,18.614245930075985,103.2600483860532,14.68710979853861,311.14,64.33,101.120684914,18.7,23.0,1.0,26.0,0.1591,0
1631,msp,4.0,0.006698,0.0,0.006724,0.141232,0.038146,0.026791,0.0,0.026894,0.07715,254.0,0.192535,0.628809,0.005402,0.0,0.0,0.633832,2.0,0.0,0.0,6,11.062,26,83.688,44.965569,-93.2151692,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.6667,partial,15.666666666666668,11.0,11.0,20.0,16.0,13.936835642328772,33.782613961194954,0.7563320203615026,31.930984465839384,266.02580983925304,26.086039698325603,473.42,47.33,471.979667117,,,1.0,27.0,0.1476,0
1632,msp,4.0,0.0,0.048514,0.0,0.13164,0.043157,0.0,0.194055,0.0,0.092913,0.0,0.223048,0.648721,0.020904,0.0,0.0,0.666649,6.0,0.0,0.0,6,11.062,27,94.375,44.9655783,-93.2148909,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.3333,disagreement,16.5,16.0,19.0,14.0,18.0,2.388278667346486,6.459321531414141,0.7937776957322777,18.614245930075985,103.2600483860532,14.68710979853861,311.14,64.33,101.120684914,18.7,23.0,1.0,26.0,0.1597,0
1633,msp,4.0,0.049188,0.0,0.154322,0.176922,0.010637,0.06091,0.0,0.185942,0.020677,203.0,0.382468,0.143937,0.0,0.0,0.287792,0.42731,2.0,0.0,0.0,2,3.688,13,23.25,44.9656721,-93.2229863,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,12.0,11.0,3.0,13.0,16.0,21.745321713109423,45.84368196980159,0.3598318048036206,48.93535596949052,90.62322258863972,16.55667208581154,461.35,25.67,258.391438837,,,1.0,8.0,0.0377,0
1634,msp,4.0,0.045898,0.0,0.122307,0.206931,0.0,0.05555,0.0,0.161062,0.0,161.0,0.379029,0.314269,0.005203,0.0,0.197477,0.515597,4.0,0.0,0.0,2,3.688,17,33.812,44.9658259,-93.2228076,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,12.0,11.0,3.0,13.0,16.0,21.745321713109423,45.84368196980159,0.3598318048036206,48.93535596949052,90.62322258863972,16.55667208581154,461.35,25.67,258.391438837,,,1.0,10.0,0.0598,0
